School,MonthCode,CalMonth,GradeLevel,GradeSort,RosterCount,Absent,Present,Released
01M515,9,May,10,10,282,845,5279,14
01M515,7,Mar,10,10,290,813,5027,12
01M515,3,Nov,10,10,278,568,4265,0
01M515,2,Oct,10,10,282,554,3977,1
01M515,4,Dec,10,10,286,724,3938,4
01M539,7,Mar,12,12,177,261,3633,0
01M539,9,May,12,12,177,439,3455,0
01M539,9,May,9,9,160,74,3443,3
01M515,5,Jan,10,10,298,693,3407,0
01M515,1,Sep,10,10,274,620,3392,0
01M539,7,Mar,9,9,160,142,3359,0
01M539,7,Mar,6,6,154,84,3304,0
01M539,9,May,6,6,154,107,3281,0
01M696,7,Mar,10,10,153,99,3267,0
01M696,9,May,10,10,153,102,3264,0
01M539,9,May,1,1,151,147,3175,0
01M539,7,Mar,1,1,151,151,3171,0
01M539,7,Mar,10,10,148,99,3156,1
01M539,9,May,10,10,149,125,3132,7
01M539,3,Nov,12,12,178,147,3057,0
01M515,6,Feb,10,10,270,532,3047,9
01M515,8,Apr,10,10,288,553,3031,9
01M696,7,Mar,9,9,140,93,2987,0
01M539,7,Mar,7,7,137,64,2950,0
01M696,7,Mar,11,11,140,130,2950,0
01M696,9,May,9,9,140,137,2943,0
01M539,5,Jan,6,6,154,141,2939,0
02M003,7,Mar,5,5,144,228,2930,10
01M539,9,May,7,7,137,88,2926,0
01M539,2,Oct,12,12,178,112,2914,0
01M696,9,May,11,11,140,174,2906,0
01M539,4,Dec,12,12,178,174,2848,4
01M539,3,Nov,9,9,161,64,2823,0
01M539,5,Jan,1,1,151,206,2814,0
01M448,9,May,9,9,138,252,2758,4
02M002,7,Mar,4,4,127,43,2751,0
02M002,9,May,4,4,127,58,2732,0
01M448,7,Mar,9,9,137,270,2731,5
01M539,1,Sep,12,12,180,122,2728,0
01M539,3,Nov,6,6,154,72,2700,0
01M515,7,Mar,11,11,161,492,2698,8
02M003,5,Jan,5,5,145,198,2694,0
01M539,2,Oct,9,9,161,58,2679,0
01M515,9,May,11,11,147,517,2675,2
01M539,9,May,11,11,126,99,2673,0
01M696,3,Nov,10,10,154,115,2657,0
01M539,5,Jan,7,7,137,86,2654,0
01M539,7,Mar,11,11,126,141,2631,0
01M839,7,Mar,7,7,123,75,2631,0
01M539,4,Dec,9,9,160,97,2623,0
01M839,7,Mar,6,6,124,105,2623,0
01M839,9,May,7,7,123,84,2622,0
01M539,3,Nov,10,10,149,66,2614,1
01M539,9,May,2,2,123,100,2606,0
02M003,7,Mar,0K,0,131,275,2603,0
01M539,7,Mar,2,2,123,112,2594,0
01M839,9,May,6,6,124,133,2594,1
01M539,2,Oct,6,6,154,47,2571,0
01M539,3,Nov,1,1,151,161,2557,0
01M539,7,Mar,8,8,121,97,2552,0
01M539,5,Jan,12,12,178,131,2542,887
01M839,7,Mar,8,8,123,153,2534,0
01M539,9,May,8,8,120,110,2530,0
01M539,7,Mar,3,3,117,46,2528,0
01M839,9,May,8,8,123,182,2524,0
01M696,2,Oct,10,10,154,105,2513,0
01M539,9,May,3,3,117,67,2507,0
01M539,1,Sep,9,9,169,77,2501,0
02M002,5,Jan,4,4,129,51,2501,0
01M539,2,Oct,1,1,151,72,2495,0
01M539,2,Oct,10,10,149,40,2493,0
01M539,4,Dec,6,6,154,128,2490,0
01M696,4,Dec,10,10,154,138,2480,0
01M539,10,Jun,6,6,154,149,2469,154
01M696,3,Nov,9,9,140,70,2450,0
01M539,7,Mar,4,4,113,44,2442,0
02M003,7,Mar,1,1,118,149,2440,0
01M539,10,Jun,1,1,151,129,2438,151
01M539,1,Sep,6,6,158,31,2433,0
02M003,7,Mar,3,3,116,121,2431,0
01M696,1,Sep,10,10,156,76,2418,0
01M539,7,Mar,5,5,113,76,2410,0
01M539,9,May,4,4,113,79,2407,0
02M003,5,Jan,0K,0,130,194,2406,0
01M539,9,May,5,5,113,81,2405,0
01M539,4,Dec,10,10,148,111,2405,0
01M696,3,Nov,11,11,140,118,2402,0
01M839,5,Jan,7,7,123,67,2393,0
01M539,1,Sep,1,1,153,40,2392,0
01M539,3,Nov,7,7,137,79,2387,0
01M839,5,Jan,6,6,125,130,2370,0
01M539,4,Dec,1,1,151,206,2361,0
01M539,5,Jan,2,2,124,117,2344,0
01M696,7,Mar,12,12,113,136,2341,0
01M539,5,Jan,9,9,160,61,2338,795
01M539,5,Jan,8,8,121,87,2333,0
01M539,6,Feb,12,12,177,147,2331,0
01M539,1,Sep,10,10,155,71,2329,0
01M448,3,Nov,9,9,137,142,2315,0
01M696,2,Oct,9,9,141,69,2314,0
